Customer_ID,Order_ID,Order_Date,Product_Category,Quantity,Unit_Price,Sales
CUST0103,ORD00001,2025-08-24,Furniture,4,9571.2,38284.8
CUST0180,ORD00002,2025-03-24,Electronics,3,11596.09,34788.27
CUST0015,ORD00004,2025-04-11,Office Supplies,1,12905.51,12905.51
CUST0107,ORD00005,2025-01-06,Electronics,4,2912.44,11649.76
CUST0072,ORD00006,2025-06-29,Furniture,5,8348.23,41741.15
CUST0189,ORD00007,2025-10-09,Accessories,5,6324.59,31622.95
CUST0021,ORD00008,2025-11-16,Electronics,2,10836.86,21673.72
CUST0103,ORD00009,2025-08-14,Office Supplies,2,5661.75,11323.5
CUST0122,ORD00010,2025-11-11,Electronics,5,13065.98,65329.9
CUST0075,ORD00011,2025-12-31,Office Supplies,5,10997.87,54989.35
CUST0088,ORD00012,2025-08-17,Furniture,4,9768.54,39074.16
CUST0117,ORD00013,2025-10-16,Accessories,3,11974.17,35922.51
CUST0100,ORD00014,2025-05-30,Accessories,2,11347.24,22694.48
CUST0104,ORD00015,2025-10-04,Accessories,3,683.69,2051.07
CUST0152,ORD00016,2025-07-17,Furniture,4,6011.81,24047.24
CUST0131,ORD00017,2025-03-11,Office Supplies,5,13972.49,69862.45
CUST0150,ORD00018,2025-04-22,Furniture,3,2017.01,6051.03
CUST0053,ORD00019,2025-01-04,Accessories,5,11095.88,55479.4
CUST0002,ORD00020,2025-12-16,Furniture,5,14622.69,73113.45
CUST0158,ORD00022,2025-11-14,Furniture,3,10280.58,30841.74
CUST0038,ORD00023,2025-12-16,Office Supplies,3,7102.09,21306.27
CUST0130,ORD00024,2025-04-05,Electronics,5,8750.75,43753.75
CUST0192,ORD00025,2025-06-01,Electronics,4,1417.32,5669.28
CUST0188,ORD00026,2025-11-07,Furniture,1,788.65,788.65
CUST0021,ORD00027,2025-05-17,Electronics,5,10052.97,50264.85
CUST0161,ORD00028,2025-09-04,Electronics,2,12376.15,24752.3
CUST0058,ORD00029,2025-08-31,Furniture,2,11762.93,23525.86
CUST0022,ORD00030,2025-01-31,Furniture,1,8225.52,8225.52
CUST0089,ORD00031,2025-02-09,Accessories,4,1633.02,6532.08
CUST0049,ORD00032,2025-08-17,Electronics,5,10367.46,51837.3
CUST0059,ORD00033,2025-02-05,Office Supplies,3,3742.05,11226.15
CUST0170,ORD00034,2025-08-11,Furniture,1,13679.37,13679.37
CUST0188,ORD00035,2025-01-06,Accessories,4,12598.24,50392.96
CUST0190,ORD00037,2025-08-08,Electronics,2,14240.36,28480.72
CUST0190,ORD00038,2025-03-16,Accessories,2,616.61,1233.22
CUST0175,ORD00039,2025-01-04,Furniture,3,11082.58,33247.74
CUST0190,ORD00040,2025-12-01,Office Supplies,1,5054.11,5054.11
CUST0051,ORD00041,2025-05-14,Furniture,2,13605.08,27210.16
CUST0108,ORD00042,2025-04-28,Electronics,5,4110.13,20550.65
CUST0055,ORD00043,2025-04-04,Office Supplies,3,10914.12,32742.36
CUST0064,ORD00044,2025-03-03,Electronics,3,13183.06,39549.18
CUST0131,ORD00045,2025-07-13,Electronics,2,768.6,1537.2
CUST0051,ORD00046,2025-12-01,Accessories,1,6055.07,6055.07
CUST0135,ORD00047,2025-07-22,Furniture,5,11470.29,57351.45
CUST0021,ORD00048,2025-01-26,Office Supplies,1,6905.55,6905.55
CUST0073,ORD00049,2025-06-22,Electronics,4,4118.7,16474.8
CUST0167,ORD00050,2025-10-27,Electronics,4,3414.11,13656.44
CUST0018,ORD00051,2025-05-13,Office Supplies,2,2103.05,4206.1
CUST0132,ORD00052,2025-11-22,Electronics,2,12878.37,25756.74
CUST0089,ORD00053,2025-04-28,Accessories,2,8694.03,17388.06
CUST0060,ORD00054,2025-11-20,Accessories,4,1284.32,5137.28
CUST0014,ORD00055,2025-10-02,Accessories,1,5831.32,5831.32
CUST0009,ORD00056,2025-07-31,Accessories,1,5610.84,5610.84
CUST0090,ORD00057,2025-08-13,Electronics,2,2848.83,5697.66
CUST0053,ORD00058,2025-01-20,Office Supplies,5,6617.29,33086.45
CUST0130,ORD00059,2025-04-23,Office Supplies,1,5081.68,5081.68
CUST0084,ORD00060,2025-05-20,Office Supplies,4,5225.79,20903.16
CUST0092,ORD00061,2025-02-16,Office Supplies,3,11124.54,33373.62
CUST0188,ORD00063,2025-03-31,Office Supplies,3,9681.62,29044.86
CUST0199,ORD00064,2025-05-22,Furniture,5,8624.15,43120.75
CUST0172,ORD00065,2025-11-16,Furniture,2,8586.17,17172.34
CUST0008,ORD00066,2025-02-07,Accessories,4,9995.66,39982.64
CUST0175,ORD00067,2025-10-20,Furniture,5,8293.47,41467.35
CUST0035,ORD00068,2025-05-19,Electronics,4,13206.94,52827.76
CUST0081,ORD00069,2025-12-22,Furniture,4,10182.36,40729.44
CUST0164,ORD00070,2025-11-29,Accessories,2,8272.4,16544.8
CUST0050,ORD00071,2025-09-16,Furniture,3,12471.98,37415.94
CUST0104,ORD00072,2025-06-10,Electronics,2,9151.28,18302.56
CUST0132,ORD00073,2025-06-27,Electronics,5,4473.49,22367.45
CUST0002,ORD00074,2025-01-10,Electronics,5,3225.36,16126.8
CUST0134,ORD00075,2025-09-18,Accessories,5,2412.07,12060.35
CUST0054,ORD00076,2025-05-18,Accessories,2,13506.91,27013.82
CUST0106,ORD00077,2025-06-21,Office Supplies,4,10695.51,42782.04
CUST0004,ORD00078,2025-01-13,Accessories,4,14070.07,56280.28
CUST0054,ORD00079,2025-06-17,Electronics,1,9108.88,9108.88
CUST0191,ORD00080,2025-05-10,Electronics,5,7180.0,35900.0
CUST0146,ORD00081,2025-03-25,Accessories,4,1036.79,4147.16
CUST0044,ORD00082,2025-11-17,Furniture,1,10123.89,10123.89
CUST0162,ORD00083,2025-11-15,Accessories,4,8795.8,35183.2
CUST0190,ORD00084,2025-04-11,Accessories,5,14854.6,74273.0
CUST0014,ORD00085,2025-11-25,Electronics,3,3701.51,11104.53
CUST0095,ORD00086,2025-09-30,Office Supplies,5,8031.45,40157.25
CUST0048,ORD00087,2025-09-22,Electronics,2,9816.72,19633.44
CUST0015,ORD00088,2025-02-07,Office Supplies,4,9722.18,38888.72
CUST0200,ORD00089,2025-04-04,Electronics,4,8485.21,33940.84
CUST0190,ORD00090,2025-04-05,Accessories,2,11687.38,23374.76
CUST0040,ORD00091,2025-11-01,Electronics,2,3193.97,6387.94
CUST0082,ORD00092,2025-03-10,Electronics,3,10925.56,32776.68
CUST0111,ORD00093,2025-11-14,Electronics,4,9353.06,37412.24
CUST0053,ORD00094,2025-08-24,Accessories,4,13456.72,53826.88
CUST0024,ORD00095,2025-11-30,Accessories,3,12730.84,38192.52
CUST0154,ORD00096,2025-05-17,Accessories,1,4829.93,4829.93
CUST0188,ORD00097,2025-03-17,Accessories,3,4252.12,12756.36
CUST0124,ORD00098,2025-02-04,Office Supplies,5,14727.55,73637.75
CUST0041,ORD00099,2025-01-01,Office Supplies,4,7979.89,31919.56
CUST0157,ORD00100,2025-10-23,Furniture,2,13610.35,27220.7
CUST0015,ORD00101,2025-11-16,Accessories,5,2583.63,12918.15
CUST0045,ORD00102,2025-03-01,Office Supplies,4,9695.86,38783.44
CUST0065,ORD00103,2025-11-16,Electronics,3,12176.42,36529.26
CUST0089,ORD00104,2025-12-15,Accessories,5,14218.82,71094.1
CUST0071,ORD00105,2025-11-24,Furniture,4,5159.5,20638.0
CUST0009,ORD00106,2025-09-24,Furniture,1,10915.97,10915.97
CUST0088,ORD00107,2025-12-27,Furniture,1,8151.37,8151.37
CUST0129,ORD00108,2025-08-17,Electronics,2,1050.34,2100.68
CUST0136,ORD00109,2025-09-27,Office Supplies,4,10396.5,41586.0
CUST0063,ORD00110,2025-11-12,Electronics,1,10397.93,10397.93
CUST0139,ORD00111,2025-10-13,Accessories,3,13969.51,41908.53
CUST0081,ORD00112,2025-10-18,Furniture,4,7535.09,30140.36
